yearpublished,avgYear
1900,6.227150000000001
1903,5.808935
1906,5.79956
1909,6.162165
1910,4.823156666666667
1911,6.94433
1925,6.35623
1927,4.1234399999999996
1929,5.2715250000000005
1930,6.123488181818181
1931,4.665414999999999
1932,5.518555
1933,4.7826
1934,3.9881650000000004
1935,4.688417142857142
1936,5.487840000000001
1937,5.970554
1938,5.855503333333334
1939,5.866223333333334
1940,5.017916666666667
1941,5.9342500000000005
1943,5.064965
1946,5.931905
1947,6.171245
1948,5.5779499999999995
1949,5.0686125
1950,5.794675
1951,5.849345
1952,5.369947499999999
1953,5.430943999999999
1954,5.882594285714286
1955,5.620133999999999
1956,5.843624444444444
1957,3.9201699999999997
1958,5.6319989999999995
1959,5.740566363636365
1960,5.654
1961,5.790390909090909
1962,5.863052777777778
1963,5.969535882352941
1964,5.817389411764705
1965,5.24930923076923
1966,5.86291
1967,5.558934
1968,5.777057200000001
1969,5.867051923076923
1970,6.085153947368421
1971,6.079282162162163
1972,6.050032388059701
1973,5.935178169014085
1974,6.129797571428571
1975,6.034433032786885
1976,6.071551475409836
1977,6.0991057
1978,6.0551225
1979,6.252474031007752
1980,6.19623373015873
1981,6.056931836734694
1982,6.04897936
1983,6.083214135338347
1984,5.913736372549019
1985,6.114777054263567
1986,6.026663223684211
1987,5.995618444444444
1988,5.803337703703703
1989,5.9396272992700725
1990,5.998444863013699
1991,5.958927752808989
1992,6.156912266009852
1993,6.0545012499999995
1994,6.027665649717513
1995,6.157266588785047
1996,5.916573732718894
1997,6.094112477477478
1998,5.974577720000001
1999,6.05295130597015
2000,5.973914664429531
2001,5.935219539473684
2002,6.008518575667656
2003,5.991526009852217
2004,6.0840185656565655
2005,6.034690278293135
2006,6.057031237911025
2007,6.087096471698114
2008,6.23558647766323
2009,6.263350614173229
2010,6.375528735632183
2011,6.375451039136302
2012,6.3764705294825506
2013,6.411736774941996
2014,6.428440863952334
2015,6.523303347863992
2016,6.61553109992254
2017,6.722811086792452
2018,6.833325745647237
2019,6.981123831478537
2020,7.228235217391304
2021,7.379827256637169
2022,7.874146637168141
2023,7.624065
