yearpublished,0
1900,3
1903,2
1906,2
1909,2
1910,3
1911,2
1925,3
1927,2
1929,2
1930,11
1931,2
1932,4
1933,2
1934,2
1935,7
1936,3
1937,5
1938,6
1939,3
1940,6
1941,2
1943,2
1946,2
1947,2
1948,2
1949,4
1950,4
1951,2
1952,4
1953,5
1954,7
1955,5
1956,9
1957,2
1958,10
1959,11
1960,23
1961,11
1962,18
1963,17
1964,17
1965,26
1966,10
1967,20
1968,25
1969,26
1970,38
1971,37
1972,67
1973,71
1974,70
1975,122
1976,61
1977,100
1978,96
1979,129
1980,126
1981,147
1982,125
1983,133
1984,102
1985,129
1986,152
1987,135
1988,135
1989,137
1990,146
1991,178
1992,203
1993,184
1994,177
1995,214
1996,217
1997,222
1998,250
1999,268
2000,298
2001,304
2002,337
2003,406
2004,495
2005,539
2006,517
2007,530
2008,582
2009,635
2010,696
2011,741
2012,831
2013,862
2014,1007
2015,1147
2016,1291
2017,1325
2018,1321
2019,1258
2020,897
2021,678
2022,113
2023,2
