yearpublished,minYear
1900,4.89512
1903,5.23129
1906,5.18769
1909,6.01471
1910,3.81618
1911,6.63398
1925,5.18349
1927,3.38712
1929,4.5215
1930,4.68667
1931,4.66067
1932,4.25705
1933,4.37245
1934,3.32818
1935,3.81
1936,4.61692
1937,5.21571
1938,5.35922
1939,5.35246
1940,3.95813
1941,5.88167
1943,4.39447
1946,5.76282
1947,5.3777
1948,4.88205
1949,3.1848
1950,5.38143
1951,4.68064
1952,4.37115
1953,4.18555
1954,5.06566
1955,4.44165
1956,4.8
1957,3.67949
1958,4.69616
1959,4.64388
1960,3.56064
1961,5.0279099999999985
1962,3.66744
1963,4.1218900000000005
1964,4.625
1965,3.55455
1966,4.53733
1967,3.02719
1968,4.02031
1969,4.2530800000000015
1970,4.54541
1971,4.74714
1972,4.7126199999999985
1973,2.94321
1974,4.509519999999998
1975,4.08734
1976,4.05641
1977,3.80211
1978,4.094130000000002
1979,3.2414
1980,3.74194
1981,4.13868
1982,3.72785
1983,3.46282
1984,4.225
1985,4.17656
1986,3.62838
1987,4.16731
1988,3.5
1989,3.95088
1990,4.015619999999998
1991,2.91288
1992,1.96901
1993,3.54619
1994,2.07649
1995,3.81449
1996,3.06952
1997,3.50252
1998,2.9325
1999,3.631580000000001
2000,2.8272
2001,2.8
2002,3.25684
2003,1.48125
2004,2.41475
2005,1.30968
2006,1.81186
2007,2.71243
2008,3.43448
2009,2.6657900000000003
2010,3.76562
2011,1.4375
2012,2.62768
2013,1.04133
2014,3.48077
2015,3.12631
2016,3.35745
2017,1.56164
2018,3.04167
2019,1.16208
2020,2.89167
2021,4.34426
2022,2.91335
2023,7.57143
